trip_id,start_time,end_time,headway_secs
"242","06:28:00","06:30:00","120"
"242","06:30:00","06:45:00","300"
"242","06:45:00","06:49:00","240"
"242","06:49:00","07:14:00","300"
"242","07:14:00","07:18:00","240"
"242","07:18:00","07:43:00","300"
"242","07:43:00","07:47:00","240"
"242","07:47:00","08:12:00","300"
"242","08:12:00","08:16:00","240"
"242","08:16:00","08:26:00","300"
"242","08:26:00","08:30:00","240"
"242","08:30:00","08:36:00","360"
"242","08:36:00","08:43:00","420"
"242","08:43:00","08:49:00","360"
"242","08:49:00","08:56:00","420"
"242","08:56:00","09:02:00","360"
"242","09:02:00","09:09:00","420"
"242","09:09:00","09:21:00","360"
"242","09:21:00","09:28:00","420"
"242","09:28:00","09:30:00","120"
"242","09:30:00","09:39:00","540"
"242","09:39:00","09:47:00","480"
"242","09:47:00","09:56:00","540"
"242","09:56:00","10:04:00","480"
"242","10:04:00","10:13:00","540"
"242","10:13:00","10:21:00","480"
"242","10:21:00","10:30:00","540"
"242","10:30:00","10:38:00","480"
"242","10:38:00","10:47:00","540"
"242","10:47:00","10:55:00","480"
"242","10:55:00","11:04:00","540"
"242","11:04:00","11:12:00","480"
"242","11:12:00","11:21:00","540"
"242","11:21:00","11:29:00","480"
"242","11:29:00","11:38:00","540"
"242","11:38:00","11:46:00","480"
"242","11:46:00","11:55:00","540"
"242","11:55:00","12:03:00","480"
"242","12:03:00","12:12:00","540"
"242","12:12:00","12:20:00","480"
"242","12:20:00","12:29:00","540"
"242","12:29:00","12:37:00","480"
"242","12:37:00","12:46:00","540"
"242","12:46:00","12:54:00","480"
"242","12:54:00","13:03:00","540"
"242","13:03:00","13:11:00","480"
"242","13:11:00","13:20:00","540"
"242","13:20:00","13:28:00","480"
"242","13:28:00","13:37:00","540"
"242","13:37:00","13:45:00","480"
"242","13:45:00","13:54:00","540"
"242","13:54:00","14:02:00","480"
"242","14:02:00","14:11:00","540"
"242","14:11:00","14:19:00","480"
"242","14:19:00","14:28:00","540"
"242","14:28:00","14:36:00","480"
"242","14:36:00","14:45:00","540"
"242","14:45:00","14:53:00","480"
